File: runtime.test
Build ID: 9cb76991b22c5ae236a5f9f7639feec7c12fa538
Type: alloc_space
Time: 2026-05-28 12:08:58 CST
Showing nodes accounting for 15723.08kB, 100% of 15723.08kB total
      flat  flat%   sum%        cum   cum%
10563.33kB 67.18% 67.18% 10563.33kB 67.18%  io.copyBuffer
 1184.27kB  7.53% 74.72%  1184.27kB  7.53%  runtime/pprof.StartCPUProfile
 1024.48kB  6.52% 81.23%  1024.48kB  6.52%  testing.(*T).Run
  902.59kB  5.74% 86.97%   902.59kB  5.74%  compress/flate.NewWriter (inline)
  512.28kB  3.26% 90.23%  2048.79kB 13.03%  testing.runTests
  512.05kB  3.26% 93.49%   512.05kB  3.26%  net.Pipe
  512.05kB  3.26% 96.74%   512.05kB  3.26%  runtime.mallocgc
  512.02kB  3.26%   100%   512.02kB  3.26%  testing.rewrite
         0     0%   100%   902.59kB  5.74%  compress/gzip.(*Writer).Write
         0     0%   100%  3697.17kB 23.51%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.(*UpstreamOriginProxy).ProxyTCP.func1
         0     0%   100%  6866.17kB 43.67%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.(*UpstreamOriginProxy).ProxyTCP.func2
         0     0%   100%   512.05kB  3.26%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.TestUpstreamOriginProxyProxyTCPForwardsBytes
         0     0%   100% 10563.33kB 67.18%  io.Copy (inline)
         0     0%   100% 10563.33kB 67.18%  io.CopyBuffer
         0     0%   100%  3233.06kB 20.56%  main.main
         0     0%   100%  3697.17kB 23.51%  net.(*TCPConn).ReadFrom
         0     0%   100%  6866.17kB 43.67%  net.(*TCPConn).WriteTo
         0     0%   100%  3697.17kB 23.51%  net.(*TCPConn).readFrom
         0     0%   100%  6866.17kB 43.67%  net.(*TCPConn).writeTo
         0     0%   100%  3697.17kB 23.51%  net.genericReadFrom
         0     0%   100%  6866.17kB 43.67%  net.genericWriteTo
         0     0%   100%   512.05kB  3.26%  runtime.(*scavengerState).init
         0     0%   100%   512.05kB  3.26%  runtime.bgscavenge
         0     0%   100%  3233.06kB 20.56%  runtime.main
         0     0%   100%   512.05kB  3.26%  runtime.newobject
         0     0%   100%   902.59kB  5.74%  runtime/pprof.(*profileBuilder).build
         0     0%   100%   902.59kB  5.74%  runtime/pprof.profileWriter
         0     0%   100%  3233.06kB 20.56%  testing.(*M).Run
         0     0%   100%  1184.27kB  7.53%  testing.(*M).before
         0     0%   100%   512.02kB  3.26%  testing.newMatcher
         0     0%   100%  1024.48kB  6.52%  testing.runTests.func1
         0     0%   100%   512.02kB  3.26%  testing.simpleMatch.verify
         0     0%   100%  1536.54kB  9.77%  testing.tRunner
         0     0%   100%  1184.27kB  7.53%  testing/internal/testdeps.TestDeps.StartCPUProfile
