File: runtime.test
Build ID: ec6e64c944b2105f0a7e05b5d547245cce0ba885
Type: alloc_space
Time: 2026-05-28 12:21:19 CST
Showing nodes accounting for 2048.28kB, 100% of 2048.28kB total
      flat  flat%   sum%        cum   cum%
  512.23kB 25.01% 25.01%   512.23kB 25.01%  runtime.mallocgc
  512.02kB 25.00% 50.01%   512.02kB 25.00%  testing.newMatcher
  512.02kB 25.00% 75.00%   512.02kB 25.00%  syscall.anyToSockaddr
  512.01kB 25.00%   100%   512.01kB 25.00%  strings.genSplit
         0     0%   100%   512.02kB 25.00%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.(*UpstreamOriginProxy).ProxyTCP
         0     0%   100%   512.02kB 25.00%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.TestUpstreamOriginProxyProxyTCPForwardsBytes.func2
         0     0%   100%  1024.03kB 49.99%  main.main
         0     0%   100%   512.02kB 25.00%  net.(*Dialer).DialContext
         0     0%   100%   512.02kB 25.00%  net.(*netFD).dial
         0     0%   100%   512.02kB 25.00%  net.(*sysDialer).dialParallel
         0     0%   100%   512.02kB 25.00%  net.(*sysDialer).dialSerial
         0     0%   100%   512.02kB 25.00%  net.(*sysDialer).dialSingle
         0     0%   100%   512.02kB 25.00%  net.(*sysDialer).dialTCP
         0     0%   100%   512.02kB 25.00%  net.(*sysDialer).doDialTCP (inline)
         0     0%   100%   512.02kB 25.00%  net.(*sysDialer).doDialTCPProto
         0     0%   100%   512.02kB 25.00%  net.internetSocket
         0     0%   100%   512.02kB 25.00%  net.socket
         0     0%   100%  1024.03kB 49.99%  runtime.main
         0     0%   100%   512.23kB 25.01%  runtime.malg
         0     0%   100%   512.23kB 25.01%  runtime.newobject
         0     0%   100%   512.23kB 25.01%  runtime.newproc.func1
         0     0%   100%   512.23kB 25.01%  runtime.newproc1
         0     0%   100%   512.23kB 25.01%  runtime.systemstack
         0     0%   100%   512.01kB 25.00%  strings.Split (inline)
         0     0%   100%   512.02kB 25.00%  syscall.Getsockname
         0     0%   100%  1024.03kB 49.99%  testing.(*M).Run
         0     0%   100%   512.01kB 25.00%  testing.(*T).Run
         0     0%   100%   512.01kB 25.00%  testing.(*matcher).fullName
         0     0%   100%  1024.03kB 49.99%  testing.runTests
         0     0%   100%   512.01kB 25.00%  testing.runTests.func1
         0     0%   100%   512.01kB 25.00%  testing.tRunner
