File: runtime.test
Build ID: ec6e64c944b2105f0a7e05b5d547245cce0ba885
Type: alloc_space
Time: 2026-05-28 12:21:17 CST
Showing nodes accounting for 3706.75kB, 100% of 3706.75kB total
      flat  flat%   sum%        cum   cum%
 1025.50kB 27.67% 27.67%  1025.50kB 27.67%  crypto/x509.parseCertificate
    1025kB 27.65% 55.32%     1025kB 27.65%  encoding/pem.Decode
  632.14kB 17.05% 72.37%   632.14kB 17.05%  os.readFileContents
  512.06kB 13.81% 86.19%   512.06kB 13.81%  runtime.mallocgc
  512.05kB 13.81%   100%   512.05kB 13.81%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.(*UpstreamAdapter).Bind
         0     0%   100%  2050.50kB 55.32%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%  1025.50kB 27.67%  crypto/x509.ParseCertificate
         0     0%   100%  2682.64kB 72.37%  crypto/x509.SystemCertPool
         0     0%   100%  2682.64kB 72.37%  crypto/x509.initSystemRoots
         0     0%   100%  2682.64kB 72.37%  crypto/x509.loadSystemRoots
         0     0%   100%  2682.64kB 72.37%  crypto/x509.systemRootsPool
         0     0%   100%  3194.69kB 86.19%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.(*BridgeRunner).Run
         0     0%   100%  3194.69kB 86.19%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.NewInstanceWithRuntimeOptions
         0     0%   100%  2682.64kB 72.37%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.PrepareRuntime
         0     0%   100%  3194.69kB 86.19%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.TestBridgeRunnerQUICUsesConfiguredEdgeDial
         0     0%   100%  2682.64kB 72.37%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.buildEdgeTLSConfigs
         0     0%   100%  2682.64kB 72.37%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.edgeTLSRootCAPool
         0     0%   100%  2682.64kB 72.37%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.edgeTLSRootCAPool.func1
         0     0%   100%  2682.64kB 72.37%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.newEdgeTLSConfig
         0     0%   100%   632.14kB 17.05%  os.ReadFile
         0     0%   100%   512.06kB 13.81%  runtime.gcenable
         0     0%   100%   512.06kB 13.81%  runtime.main
         0     0%   100%   512.06kB 13.81%  runtime.makechan
         0     0%   100%  2682.64kB 72.37%  sync.(*Once).Do (inline)
         0     0%   100%  2682.64kB 72.37%  sync.(*Once).doSlow
         0     0%   100%  3194.69kB 86.19%  testing.tRunner
