File: runtime.test
Build ID: ec6e64c944b2105f0a7e05b5d547245cce0ba885
Type: alloc_space
Time: 2026-05-28 12:21:47 CST
Showing nodes accounting for 3072.52kB, 100% of 3072.52kB total
      flat  flat%   sum%        cum   cum%
  512.23kB 16.67% 16.67%   512.23kB 16.67%  runtime.mallocgc
  512.20kB 16.67% 33.34%  1024.21kB 33.33%  testing.(*T).Run
  512.05kB 16.67% 50.01%   512.05kB 16.67%  net.Pipe
  512.02kB 16.66% 66.67%   512.02kB 16.66%  syscall.anyToSockaddr
  512.01kB 16.66% 83.34%  1024.02kB 33.33%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.(*UpstreamOriginProxy).ProxyTCP
  512.01kB 16.66%   100%   512.01kB 16.66%  strings.genSplit
         0     0%   100%   512.05kB 16.67%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.TestUpstreamOriginProxyProxyTCPForwardsBytes
         0     0%   100%  1024.02kB 33.33%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.TestUpstreamOriginProxyProxyTCPForwardsBytes.func2
         0     0%   100%  1024.21kB 33.33%  main.main
         0     0%   100%   512.02kB 16.66%  net.(*Dialer).DialContext
         0     0%   100%   512.02kB 16.66%  net.(*netFD).connect
         0     0%   100%   512.02kB 16.66%  net.(*netFD).dial
         0     0%   100%   512.02kB 16.66%  net.(*sysDialer).dialParallel
         0     0%   100%   512.02kB 16.66%  net.(*sysDialer).dialSerial
         0     0%   100%   512.02kB 16.66%  net.(*sysDialer).dialSingle
         0     0%   100%   512.02kB 16.66%  net.(*sysDialer).dialTCP
         0     0%   100%   512.02kB 16.66%  net.(*sysDialer).doDialTCP (inline)
         0     0%   100%   512.02kB 16.66%  net.(*sysDialer).doDialTCPProto
         0     0%   100%   512.02kB 16.66%  net.internetSocket
         0     0%   100%   512.02kB 16.66%  net.socket
         0     0%   100%  1024.21kB 33.33%  runtime.main
         0     0%   100%   512.23kB 16.67%  runtime.malg
         0     0%   100%   512.23kB 16.67%  runtime.newobject
         0     0%   100%   512.23kB 16.67%  runtime.newproc.func1
         0     0%   100%   512.23kB 16.67%  runtime.newproc1
         0     0%   100%   512.23kB 16.67%  runtime.systemstack
         0     0%   100%   512.01kB 16.66%  strings.Split (inline)
         0     0%   100%   512.02kB 16.66%  syscall.Getpeername
         0     0%   100%  1024.21kB 33.33%  testing.(*M).Run
         0     0%   100%   512.01kB 16.66%  testing.(*matcher).fullName
         0     0%   100%  1024.21kB 33.33%  testing.runTests
         0     0%   100%  1024.21kB 33.33%  testing.runTests.func1
         0     0%   100%  1536.27kB 50.00%  testing.tRunner
