File: runtime.test
Build ID: 81fb0006559bcaca5af5826f7159c56b4f58e286
Type: alloc_space
Time: 2026-05-28 12:10:59 CST
Showing nodes accounting for 10793.32kB, 100% of 10793.32kB total
      flat  flat%   sum%        cum   cum%
 1537.53kB 14.25% 14.25%  4609.65kB 42.71%  crypto/x509.parseCertificate
 1536.30kB 14.23% 28.48%  1536.30kB 14.23%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.NewUpstreamOrchestrator
 1184.27kB 10.97% 39.45%  1184.27kB 10.97%  runtime/pprof.StartCPUProfile
 1024.06kB  9.49% 48.94%  2048.09kB 18.98%  crypto/x509.parseName
 1024.03kB  9.49% 58.43%  1024.03kB  9.49%  crypto/x509.parseASN1String
 1024.02kB  9.49% 67.91%  1024.02kB  9.49%  strings.genSplit
  902.59kB  8.36% 76.28%   902.59kB  8.36%  compress/flate.NewWriter (inline)
  512.23kB  4.75% 81.02%   512.23kB  4.75%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/origin.newTransport (inline)
  512.20kB  4.75% 85.77%  1536.22kB 14.23%  testing.(*T).Run
  512.05kB  4.74% 90.51%   512.05kB  4.74%  runtime.mallocgc
  512.02kB  4.74% 95.26%   512.02kB  4.74%  internal/bytealg.MakeNoZero
  512.02kB  4.74%   100%   512.02kB  4.74%  vendor/golang.org/x/crypto/cryptobyte.(*String).ReadASN1ObjectIdentifier
         0     0%   100%   902.59kB  8.36%  compress/gzip.(*Writer).Write
         0     0%   100%  4609.65kB 42.71%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%  4609.65kB 42.71%  crypto/x509.ParseCertificate
         0     0%   100%  4609.65kB 42.71%  crypto/x509.SystemCertPool
         0     0%   100%  4609.65kB 42.71%  crypto/x509.initSystemRoots
         0     0%   100%  4609.65kB 42.71%  crypto/x509.loadSystemRoots
         0     0%   100%   512.02kB  4.74%  crypto/x509.parseExtension
         0     0%   100%  4609.65kB 42.71%  crypto/x509.systemRootsPool
         0     0%   100%   512.02kB  4.74%  encoding/asn1.ObjectIdentifier.String
         0     0%   100%   512.23kB  4.75%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/origin.NewProxy
         0     0%   100%  6658.19kB 61.69%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.(*BridgeRunner).Run
         0     0%   100%  6658.19kB 61.69%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.NewInstanceWithRuntimeOptions
         0     0%   100%  2048.54kB 18.98%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.NewQUICRuntimeWithOptions
         0     0%   100%  5121.89kB 47.45%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.PrepareRuntime
         0     0%   100%  6658.19kB 61.69%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.TestBridgeRunnerQUICUsesConfiguredEdgeDial
         0     0%   100%  4609.65kB 42.71%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.buildEdgeTLSConfigs
         0     0%   100%  4609.65kB 42.71%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.edgeTLSRootCAPool
         0     0%   100%  4609.65kB 42.71%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.edgeTLSRootCAPool.func1
         0     0%   100%  4609.65kB 42.71%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.newEdgeTLSConfig
         0     0%   100%  2048.54kB 18.98%  github.com/deanxv/cf-quicktunnel-ipv6pool/internal/cftunnel/runtime.newQUICRuntimeWithEdgeDialConfig
         0     0%   100%  2720.49kB 25.21%  main.main
         0     0%   100%   512.05kB  4.74%  runtime.(*scavengerState).init
         0     0%   100%   512.05kB  4.74%  runtime.bgscavenge
         0     0%   100%  2720.49kB 25.21%  runtime.main
         0     0%   100%   512.05kB  4.74%  runtime.newobject
         0     0%   100%   902.59kB  8.36%  runtime/pprof.(*profileBuilder).build
         0     0%   100%   902.59kB  8.36%  runtime/pprof.profileWriter
         0     0%   100%   512.02kB  4.74%  strings.(*Builder).Grow
         0     0%   100%   512.02kB  4.74%  strings.(*Builder).grow
         0     0%   100%  1024.02kB  9.49%  strings.Split (inline)
         0     0%   100%  4609.65kB 42.71%  sync.(*Once).Do (inline)
         0     0%   100%  4609.65kB 42.71%  sync.(*Once).doSlow
         0     0%   100%  2720.49kB 25.21%  testing.(*M).Run
         0     0%   100%  1184.27kB 10.97%  testing.(*M).before
         0     0%   100%  1024.02kB  9.49%  testing.(*matcher).fullName
         0     0%   100%  1536.22kB 14.23%  testing.runTests
         0     0%   100%  1536.22kB 14.23%  testing.runTests.func1
         0     0%   100%  8194.41kB 75.92%  testing.tRunner
         0     0%   100%  1184.27kB 10.97%  testing/internal/testdeps.TestDeps.StartCPUProfile
